country,date,gdp_growth,inflation,debt_to_gdp,current_account_gdp,reserves_months_imports,ext_debt_total,unemployment,fx_official
Brazil,2024,3.41931516597739,4.36746407652337,81.8554431216383,-3.02715961462093,7.95558614184571,605463780812.8,6.801,5.3889349057096
Brazil,2023,3.24165532813583,4.59356282283204,83.0317498511131,-1.23558182662996,9.43008741044696,607387151485.1,7.947,4.99437976287199
Brazil,2022,3.01669435408112,9.28010608956873,79.1023218876878,-2.14967710619443,8.3357921852962,579257850288.2,9.231,5.16397029102111
Brazil,2021,4.7626043797061,8.30165975585673,85.0115036759105,-2.35822088025659,11.1402301211994,571193915507.8,13.158,5.39440078962503
Brazil,2020,-3.27675879612903,3.21176803803376,98.7098819481716,-1.64103535066212,14.9438769882273,549329010779.0,13.697,5.15517878751281
Brazil,2019,1.22077782271943,3.73297621216894,92.5652532010336,-3.41429111497121,12.2312070465136,568708887352.2,11.936,3.9444710972507
Brazil,2018,1.78366676137003,3.66485028376729,86.6078841230118,-2.80752036371842,13.202166862988,557765380774.6,12.329,3.65382536145755
Brazil,2017,1.32286905390815,3.44637335032669,83.6692026484793,-1.22429942889483,14.8647023427237,543000470110.9,12.792,3.19138944630048
Brazil,2016,-3.2759169063211,8.73914352329393,73.4188038098507,-1.70011360207642,16.6034201407585,543257228545.3,11.58,3.49131342157271
Brazil,2015,-3.54576339347278,9.02990102416136,67.5375540389418,-3.5183920728161,14.6482488458148,543397356309.8,8.538,3.32690438276879
Brazil,2014,0.503955740273241,6.32904015516139,58.4572711007508,-4.49883030905232,11.3474043536962,556919631071.7,6.755,2.35295196276669
Brazil,2013,3.0048226702888,6.20431066640101,57.2284093858434,-3.57422104702554,11.204987102341,483734834011.9,7.071,2.15608915126311
Brazil,2012,1.92117598509462,5.40349914036997,59.8494900102759,-3.75941536826245,11.6309530113885,440496598192.8,7.251,1.95306861112487
Brazil,2011,3.97442307944702,6.6364496221309,59.341658294152,-3.19461785178244,10.5265784637235,404046105342.1,7.578,1.67282875525659
Brazil,2010,7.52822581812151,5.03872690108075,61.3187804640802,-3.92594539867631,10.2280608885101,352364412862.6,8.42,1.75922671058718
Brazil,2009,-0.12581200299141,4.88803479876799,,-1.75935802585413,12.9658318881251,281651138432.4,9.419,1.99942817314426
Brazil,2008,5.09419544811998,5.67859390284168,,-2.09933746626458,8.33142232895235,262957236462.6,8.268,1.83376666666667
Brazil,2007,6.06987060733128,3.64127299102652,,-0.197096994827677,10.7535621523233,238444452622.6,9.28,1.94705833333333
Brazil,2006,3.96198870899485,4.18356812896909,,0.972710373980306,6.60632794970043,194303018016.9,9.692,2.17532666666667
Brazil,2005,3.20213206216255,6.86953720898964,,1.30988468509779,5.01765489488028,188364545589.9,10.551,2.43439003623188
Brazil,2004,5.75996463685998,6.59718509985963,,1.33863085372603,6.01897746167502,220693592600.6,10.072,2.92511944951586
Brazil,2003,1.14082899877101,14.7149197228147,,0.392877198829747,6.80818213950275,235907984168.4,11.168,3.07747511847802
Brazil,2002,3.05346185683619,8.45016437708331,,-1.84525902808169,5.36911462837761,231944181034.5,10.641,2.92036301775519
Brazil,2001,1.3898964044581,6.84035902487523,,-4.44478598177802,4.44144456291018,229959717402.1,10.649,2.34963170932244
Brazil,2000,4.38794944364869,7.04414105947266,,-4.04774157195875,4.14153415965172,242511685521.8,10.889,1.82942312207561
Botswana,2024,-2.98986879467928,2.81835131676251,,-4.23221726436584,4.75676435737337,2317990593.0,23.81,13.5631333333333
Botswana,2023,3.20806812224438,5.0676154934383,,1.48807672938924,7.1798229535816,2184503342.8,23.381,13.5963833333333
Botswana,2022,5.48601706446772,11.665567478802,,-0.59504452376584,4.98603986672535,2002717072.9,23.615,12.3688083333333
Botswana,2021,11.9162724376008,7.24097765588442,,-1.76490531071366,6.00373614438295,1997456430.5,23.106,11.0872583333333
Botswana,2020,-8.72888243996397,1.8903591682421,19.6161332466694,-9.8063111229932,7.74210429383501,1602987277.9,21.017,11.4562416666667
Botswana,2019,3.0317733945467,2.77286442863321,16.193904309718,-6.90505478190792,8.35244884596836,1564146563.7,20.094,10.7558666666667
Botswana,2018,4.18869237159223,3.23801558947715,15.2307151442609,0.392946349031096,8.69368416094933,1773968857.7,19.665,10.199975
Botswana,2017,4.11437856445083,3.30828076768219,14.6807691767743,5.58580913830413,11.3608810616714,1732142195.8,19.671,10.3474166666667
Botswana,2016,7.20442475914267,2.81495791361944,15.8049523115174,7.97299721999998,10.2345139601369,2121220930.7,19.328,10.9011583333333
Botswana,2015,-4.85132507409779,3.06203169580558,19.086977673783,2.22618287554396,10.2974149987661,2223000319.7,18.915,10.1289916666667
Botswana,2014,5.69714422072884,4.40225309243427,18.3257336074772,11.0750306448499,10.266911009258,2490383552.1,18.484,8.97608333333333
Botswana,2013,11.1029068737822,5.88460707056817,19.0163812887175,4.53073148351166,9.18730550151156,2378002492.2,18.167,8.39890833333333
Botswana,2012,-0.170857099335691,7.53690261091916,20.6231807851092,-5.90199267050561,9.84524080322996,2517445031.3,17.916,7.640525
Botswana,2011,6.83841052493574,8.45987233408583,21.0743622822987,-0.872984775002233,10.9462028718796,2395188968.7,18.049,6.83823333333333
Botswana,2010,10.119723322694,6.94887658743103,21.8862970525723,-5.88840225663454,12.3974795027323,1806938426.7,17.86,6.793625
Botswana,2009,-14.1442346163423,8.02729703109582,19.2517818685668,-6.40593961472031,17.4791313411833,1643300883.2,16.169,7.15514166666667
Botswana,2008,3.25207295796832,12.7021883920076,8.00402997376666,1.39345872319276,15.7252080622286,448508779.9,16.293,6.82685833333333
Botswana,2007,5.79255577727118,7.08099847172693,5.9431764131185,15.6550615013405,19.6010926257415,425189546.8,16.976,6.13940833333333
Botswana,2006,8.36387109282306,11.5552187914379,6.02356808660498,19.6647760227163,20.5493536757065,364731487.2,17.782,5.8303
Botswana,2005,4.55664565323181,8.6102252854644,,16.1057108456086,15.8904869813322,460538960.4,19.852,5.11675
Botswana,2004,2.70582170611173,6.94570363654675,,3.53678323332069,13.994111443137,515796292.8,21.755,4.69383333333333
Botswana,2003,4.62589474959299,9.18990265632739,,9.54244888755721,16.816569647457,514126449.3,23.8,4.94966666666667
Botswana,2002,6.06953087648317,8.03279662527486,,4.84207534572473,21.460908538314,491350071.0,21.277,6.32779166666667
Botswana,2001,0.250573949689084,6.55903767014862,,10.8425100137362,26.729041672384,400352880.4,18.54,5.84141666666667
Botswana,2000,1.98769583378552,8.60148514851491,,9.4180495224013,24.8591709175375,452434627.4,15.88,5.10224166666667
China,2024,4.9773565917572,0.218128938439177,,2.2616499482671,11.2291372513816,2419835436491.8,4.59,7.19749110789917
China,2023,5.41484330099675,0.234836828893051,,1.4415829879426,11.6398210792559,2447537483872.8,4.67,7.08399842343631
China,2022,3.1341888719577,1.97357555739051,,2.42059259149418,11.1266298868594,2530502272052.6,4.98,6.73715811237119
China,2021,8.57008513166322,0.981015135544882,,1.93875176197337,11.6019861902875,2724353650084.8,4.55,6.44897518024316
China,2020,2.34018843078414,2.41942189457782,,1.65930095801393,14.6817028192022,2326232537961.7,5.0,6.90076726944925
China,2019,6.06850235053705,2.89923416358227,,0.706790487310518,13.754177548943,2114161989828.3,4.56,6.90838500992901
China,2018,6.75671800166833,2.07479039965576,,0.170563391928727,13.1417391678264,1961562462976.8,4.31,6.61595717735439
China,2017,6.8912663621211,1.59313600071436,,1.50488723669315,15.4175323187252,1710819944231.6,4.47,6.75875508633597
China,2016,6.77555562837017,2.00000182191943,,1.67018709565351,16.7160982737837,1413904270462.7,4.56,6.6444778294468
China,2015,6.97878002657477,1.43702380935655,,2.59752794949746,17.935784855181,1333768986063.5,4.65,6.22748867298455
China,2014,7.46190028229434,1.92164162788521,,2.21130586371267,18.9654201864734,1778380562695.9,4.63,6.14343409448867
China,2013,7.77872409446717,2.62105001748115,,1.52111320885029,19.5432820448992,1480476659937.3,4.6,6.19575834608231
